Episode,Average Number of steps,Mean Reward
0,0.008,-0.1
1000,8.0,-49.43
2000,8.0,-49.79
3000,8.0,-49.82
4000,8.0,-50.87
5000,8.0,-49.64
6000,8.0,-50.165
7000,8.0,-50.0
8000,8.0,-49.88
9000,8.0,-50.405
10000,8.0,-50.045
11000,8.0,-47.015
12000,8.0,-42.785
13000,8.0,-38.51
14000,8.0,-35.705
15000,8.0,-31.685
16000,8.0,-28.28
17000,8.0,-23.99
18000,8.0,-22.7
19000,8.0,-18.455
20000,8.0,-14.075
21000,8.0,-13.16
22000,8.0,-11.21
23000,8.0,-7.175
24000,8.0,-6.305
25000,8.0,-4.595
26000,8.0,-0.62
27000,8.0,0.01
28000,8.0,1.585
29000,8.0,4.9
30000,8.0,6.61
31000,8.0,8.605
32000,8.0,10.15
33000,8.0,10.81
34000,8.0,12.595
35000,8.0,13.225
36000,8.0,14.74
37000,8.0,16.09
38000,8.0,17.32
39000,8.0,18.805
40000,8.0,19.18
41000,8.0,21.61
42000,8.0,20.665
43000,8.0,22.135
44000,8.0,22.42
45000,8.0,23.695
46000,8.0,25.105
47000,8.0,25.045
48000,8.0,26.98
49000,8.0,26.71
50000,8.0,27.475
51000,8.0,28.015
52000,8.0,29.17
53000,8.0,28.375
54000,8.0,29.515
55000,8.0,30.535
56000,8.0,29.98
57000,8.0,31.42
58000,8.0,31.39
59000,8.0,32.11
60000,8.0,32.35
61000,8.0,32.65
62000,8.0,33.085
63000,8.0,33.835
64000,8.0,33.895
65000,8.0,33.91
66000,8.0,34.345
67000,8.0,34.375
68000,8.0,34.96
69000,8.0,35.095
70000,8.0,35.905
71000,8.0,35.305
72000,8.0,35.455
73000,8.0,35.275
74000,8.0,35.65
75000,8.0,35.005
